N      AExpCC       CGCQPBOI       CGCQPBOIO     MCR     MCI     KL
30.0000  0.0025  0.0001  0.0001  0.0004  0.0025  0.0000  
60.0000  1.6445  0.0010  0.0012  0.0026  0.0125  0.0004  
90.0000  NaN  0.0091  NaN  0.0198  0.0453  0.0043  
120.0000  0.3384  0.0712  0.0670  0.1830  0.2448  0.0265  
150.0000  0.1876  0.1591  0.2270  0.9175  0.7629  0.0902  
180.0000  0.4794  0.5825  1.1520  2.8510  1.0812  0.2775  
210.0000  1.0092  0.5415  0.7612  5.7115  1.8995  1.1290  
240.0000  2.4422  1.4435  4.6320  30.6321  3.4290  2.3750  
270.0000  5.1081  5.2434  12.7810  98.2982  11.2277  6.1322  
300.0000  14.4089  7.4492  22.9971  209.6585  78.7731  10.5393  
350.0000  219.1303  20.1108  60.2899  1137.4746  367.8695  35.5836  
400.0000  485.7250  55.4450  162.5358  2603.5686  197.2235  82.7957  
450.0000  1860.7281  74.2981  121.1144  NaN  431.4278  150.9008  
500.0000  NaN  125.7044  845.7702  NaN  1033.7500  381.3301  
550.0000  NaN  907.8644  1827.8223  NaN  1961.6853  733.6605  
600.0000  NaN  NaN  NaN  NaN  NaN  1317.0163  
650.0000  NaN  NaN  NaN  NaN  NaN  2100.8675  
750.0000  NaN  NaN  NaN  NaN  NaN  NaN  
