N      AExpCC       CGCQPBOI       CGCQPBOIO     MCR     MCI     KL
30.0000  0.0258  0.0004  NaN  0.0009  0.0049  0.0003  
60.0000  0.0120  0.0035  NaN  0.0054  0.0122  0.0020  
90.0000  0.0485  0.0144  NaN  0.0866  0.0567  0.0096  
120.0000  0.1869  0.0375  NaN  0.4600  0.3030  0.0399  
150.0000  0.6089  0.1397  NaN  2.1463  0.7406  0.2282  
180.0000  1.5007  0.3285  NaN  8.4974  1.6425  0.8511  
210.0000  3.8347  0.8804  NaN  30.3658  3.8129  2.3560  
240.0000  12.6108  1.9590  NaN  110.7637  7.9794  5.1996  
270.0000  33.3290  4.4673  NaN  303.4251  27.3922  9.5753  
300.0000  98.6898  8.9972  NaN  711.0109  95.3614  18.1831  
350.0000  351.2227  28.2450  NaN  NaN  153.7963  39.8834  
400.0000  1087.8413  64.9467  NaN  NaN  NaN  85.0565  
450.0000  NaN  137.4246  NaN  NaN  NaN  166.3800  
500.0000  NaN  289.0675  NaN  NaN  NaN  294.2395  
550.0000  NaN  760.6521  NaN  NaN  NaN  517.2218  
