N      AExpCC       CGCQPBOI     CGCQPBOIO      MCR     MCI     KL
30.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
60.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.8228  
90.0000  NaN  4.7583  NaN  0.0000  0.0000  13.6244  
120.0000  13.4330  16.0910  0.0649  1.1888  0.0000  87.7719  
150.0000  24.7812  2.1093  8.7167  8.9827  0.0000  38.8657  
180.0000  11.7107  8.5832  3.3715  1.1888  0.0000  157.7926  
210.0000  95.2410  0.0000  4.0093  1.1888  0.0000  387.1973  
240.0000  104.0004  2.9177  3.8359  7.1870  0.0000  650.2785  
270.0000  220.3816  7.0804  19.1957  2.5141  0.0000  1478.5898  
300.0000  138.1026  34.6900  30.5338  2.5141  0.0000  1930.1889  
350.0000  301.8109  30.8929  21.2961  21.3055  0.0000  2786.8136  
400.0000  381.1686  161.5143  161.7477  19.8712  0.0000  4275.5616  
450.0000  681.9566  331.9087  292.5757  NaN  0.0000  6720.8699  
500.0000  NaN  372.5830  575.2345  NaN  0.0000  9144.0940  
550.0000  NaN  123.3080  769.8206  NaN  0.0000  11881.1122  
600.0000  NaN  NaN  NaN  NaN  NaN  NaN  
650.0000  NaN  NaN  NaN  NaN  NaN  NaN  
750.0000  NaN  NaN  NaN  NaN  NaN  NaN  
