N      AExpCC       CGCQPBOI     CGCQPBOIO      MCR     MCI     KL
30.0000  0.0000  0.1014  NaN  0.0000  0.0000  0.0000  
60.0000  0.9203  0.0000  NaN  0.0000  0.0000  3.2514  
90.0000  3.7598  2.6146  NaN  0.3092  0.0000  18.3062  
120.0000  10.9793  4.7409  NaN  1.7335  0.0000  47.7899  
150.0000  26.2130  5.2761  NaN  2.7433  0.0000  140.0043  
180.0000  28.9078  15.5445  NaN  1.0043  0.0000  364.5645  
210.0000  44.6030  15.4325  NaN  4.0861  0.0000  676.6378  
240.0000  90.0635  16.7455  NaN  10.3515  0.0000  935.7091  
270.0000  68.7955  36.3178  NaN  8.5781  0.0000  1323.5823  
300.0000  103.7856  51.3618  NaN  13.1494  0.0000  1748.9872  
350.0000  218.2612  101.9007  NaN  NaN  0.0000  2484.5980  
400.0000  327.6944  175.7640  NaN  NaN  NaN  3905.1918  
450.0000  NaN  133.4896  NaN  NaN  NaN  5180.5739  
500.0000  NaN  122.5819  NaN  NaN  NaN  6972.6901  
550.0000  NaN  0.0000  NaN  NaN  NaN  9170.0036  
