th      AExpCC     CGC     CGCQPBOI     MCR     MCI   PlanarCC      KL    MedAExpCC     MedCGC     MedCGCQPBOI     MedMCR     MedMCI   MedPlanarCC      MedKL
0.1000  0.0275  0.0252  0.0222  3.0430  49.0521  0.3198  0.0346  0.0216  0.0225  0.0174  1.9071  0.9207  0.2592  0.0311  
0.2000  0.0293  0.0261  0.0229  3.2676  44.4291  0.3799  0.0388  0.0238  0.0241  0.0182  2.0362  1.0562  0.2833  0.0349  
0.3000  0.0319  0.0280  0.0274  3.4753  29.8029  0.3638  0.0406  0.0250  0.0248  0.0188  2.1907  0.9310  0.3000  0.0357  
0.4000  0.0387  0.0303  0.0323  3.3576  21.8805  0.4343  0.0428  0.0285  0.0269  0.0218  2.2620  0.9367  0.3170  0.0376  
0.5000  0.0425  0.0325  0.0373  3.3422  25.2219  0.4919  0.0476  0.0312  0.0272  0.0228  2.2529  1.0322  0.3560  0.0397  
0.6000  0.0448  0.0350  0.0514  3.4676  24.7994  0.3456  0.0539  0.0324  0.0285  0.0248  2.2626  1.0475  0.2808  0.0444  
0.7000  0.0607  0.0384  0.0554  3.4681  16.7728  0.3711  0.0582  0.0402  0.0305  0.0279  2.2632  1.0347  0.3091  0.0445  
0.8000  0.0651  0.0416  0.0661  3.3921  9.6787  0.3997  0.0642  0.0430  0.0333  0.0288  2.2651  1.0416  0.2990  0.0500  
0.9000  0.0813  0.0465  0.0940  3.3715  7.3708  0.4367  0.0699  0.0445  0.0350  0.0322  2.2168  1.2130  0.3353  0.0506  
1.0000  0.1077  0.0514  0.0856  3.2850  6.3110  0.4564  0.0819  0.0502  0.0381  0.0330  2.0486  0.9384  0.3405  0.0598  
1.1000  0.1160  0.0550  0.0830  3.3612  20.3583  0.5110  0.0999  0.0563  0.0384  0.0381  2.0331  0.8572  0.3669  0.0675  
1.2000  0.1323  0.0598  0.0846  3.2386  24.8581  0.5937  0.1178  0.0619  0.0443  0.0406  1.8109  0.8834  0.4035  0.0731  
1.3000  0.1569  0.0671  0.0959  3.0074  16.9108  0.6769  0.1331  0.0747  0.0498  0.0474  1.5003  0.8149  0.4022  0.0846  
1.4000  0.1635  0.0695  0.1137  2.6951  16.0679  0.7886  0.1298  0.0759  0.0542  0.0513  1.3087  0.6987  0.4817  0.0915  
1.5000  0.1863  0.0766  0.1329  2.5423  20.2300  0.8670  0.1530  0.0932  0.0561  0.0519  1.1073  0.7028  0.5253  0.1074  
1.6000  0.2042  0.0797  0.1367  2.2947  18.0682  0.8520  0.1761  0.1130  0.0593  0.0571  0.9611  0.5998  0.5280  0.1043  
1.7000  0.2232  0.0850  0.1352  1.8814  4.5010  1.2070  0.2119  0.1193  0.0645  0.0596  0.7338  0.6183  0.8423  0.1305  
1.8000  0.2546  0.0911  0.1523  1.5776  1.7193  1.4027  0.2264  0.1465  0.0651  0.0637  0.5556  0.6214  0.9995  0.1246  
1.9000  0.2941  0.0956  0.1387  1.3669  1.5445  1.6162  0.2475  0.1584  0.0658  0.0638  0.4206  0.5245  1.0874  0.1281  
2.0000  0.3263  0.0968  0.1704  1.1176  1.0922  1.8509  0.2630  0.1839  0.0689  0.0565  0.2860  0.4868  1.0626  0.1357  
2.1000  0.3359  0.0942  0.1307  0.9313  1.1966  1.6594  0.3032  0.2023  0.0661  0.0536  0.1775  0.4222  1.1469  0.1374  
2.2000  0.3620  0.1012  0.1409  0.8186  4.7825  1.8685  0.2957  0.2254  0.0656  0.0509  0.1565  0.4092  1.4472  0.1304  
2.3000  0.4067  0.1004  0.1234  0.6352  1.6582  2.8068  0.2951  0.2448  0.0656  0.0484  0.1397  0.3937  1.5411  0.1236  
2.4000  0.3985  0.0897  0.1065  0.5180  1.2235  2.2815  0.2892  0.2699  0.0635  0.0459  0.1024  0.2954  1.6230  0.1045  
2.5000  0.3926  0.0878  0.1124  0.3695  0.7694  2.8067  0.2555  0.2596  0.0613  0.0454  0.0726  0.1861  1.6666  0.0964  
2.6000  0.4197  0.0822  0.1026  0.2494  0.5261  2.5622  0.2179  0.2705  0.0580  0.0415  0.0478  0.2479  1.2191  0.0748  
2.7000  0.3982  0.0770  0.0787  0.2145  0.4176  3.2609  0.2001  0.2578  0.0518  0.0410  0.0377  0.2149  1.8301  0.0669  
2.8000  0.3957  0.0693  0.0721  0.1803  0.3382  7.3803  0.1688  0.2715  0.0462  0.0372  0.0282  0.1439  1.0428  0.0525  
2.9000  0.3968  0.0688  0.0637  0.1760  0.2971  2.3447  0.1449  0.2727  0.0399  0.0330  0.0195  0.1451  1.0535  0.0449  
3.0000  0.3800  0.0648  0.0670  0.2181  0.2713  2.9065  0.1399  0.2836  0.0368  0.0312  0.0157  0.1140  1.0065  0.0415  
