th      AExpCC     CGC     CGCQPBOI     MCR     MCI   PlanarCC    KL
0.1000  1.4638  0.2067  2.3499  0.0965  0.0000  0.0749  15.3704  
0.2000  1.8493  0.0557  2.4257  0.3151  0.0000  0.1150  16.1380  
0.3000  2.4454  0.0919  2.8947  0.5526  0.0000  0.1878  18.9331  
0.4000  2.9216  0.1129  2.8603  0.4769  0.0000  0.2154  20.8742  
0.5000  3.0657  0.1069  2.9182  0.2990  0.0000  0.2947  22.7872  
0.6000  2.5120  0.1184  2.9803  0.1672  0.0000  0.1806  25.3974  
0.7000  3.0019  0.1763  2.7813  0.3093  0.0000  0.2095  25.6457  
0.8000  3.3984  0.2166  2.6935  0.3068  0.0000  0.4728  27.3692  
0.9000  3.4224  0.2430  3.0635  0.2917  0.0000  0.3596  28.0612  
1.0000  2.9168  0.2944  3.1728  0.3023  0.0000  0.4534  30.8273  
1.1000  3.7190  0.2133  3.0939  0.2606  0.0000  0.4428  29.5346  
1.2000  4.1357  0.1353  2.5937  0.2348  0.0000  0.4688  29.3300  
1.3000  3.8808  0.1856  2.6093  0.2877  0.0000  0.4331  30.4358  
1.4000  4.3370  0.2129  2.7681  0.3765  0.0000  0.4255  30.0785  
1.5000  4.0138  0.2894  2.8850  0.3141  0.0000  0.4025  28.6041  
1.6000  4.4621  0.2098  2.7902  0.2579  0.0000  0.4443  26.8850  
1.7000  4.4679  0.1823  2.3312  0.2910  0.0000  0.4900  25.5083  
1.8000  4.6094  0.1647  1.9149  0.2906  0.0000  0.4564  24.5433  
1.9000  4.5381  0.1619  2.0899  0.2043  0.0000  0.4074  21.5984  
2.0000  4.2366  0.1462  1.9087  0.2462  0.0000  0.3955  18.3466  
2.1000  3.9514  0.1253  1.7128  0.1898  0.0000  0.3008  15.5094  
2.2000  3.9641  0.1213  1.6275  0.1775  0.0000  0.3298  12.6476  
2.3000  3.5117  0.1134  1.2709  0.2055  0.0000  0.2830  10.4478  
2.4000  3.3758  0.1242  1.1720  0.1987  0.0000  0.2333  8.6909  
2.5000  2.8607  0.1053  1.0881  0.1129  0.0000  0.1987  6.7639  
2.6000  2.6643  0.0798  1.0366  0.1392  0.0000  0.1360  5.5560  
2.7000  2.4103  0.0837  0.9924  0.1349  0.0000  0.1931  4.7235  
2.8000  2.2673  0.0638  0.8539  0.1112  0.0000  0.1100  3.6147  
2.9000  2.0779  0.0826  0.6212  0.1112  0.0000  0.1064  3.1013  
3.0000  1.7260  0.0716  0.5443  0.0888  0.0000  0.0925  2.7462  
